id_releve,horodatage,zone,temperature_interieure_c,temperature_exterieure_c,humidite_pct,occupation_personnes,type_jour,consommation_kwh
5419,2025-02-15 03:00:00,Salle_Serveur,21.3,-2.31,49.0,0,weekend,50.057
8768,2025-03-15 01:00:00,Atelier,20.06,3.56,43.2,0,weekend,15.232
6426,2025-02-23 13:00:00,Bureau_Nord,22.46,6.38,44.6,0,weekend,9.528
256,2025-01-03 03:00:00,Bureau_Nord,21.7,-0.96,43.3,8,ouvré,10.552
8536,2025-03-13 03:00:00,BUREAU NORD,21.16,2.11,41.6,6,ouvré,10.597
9747,2025-03-23 05:00:00,Bureau_Sud,20.74,4.12,,0,weekend,9.855
1429,2025-01-12 21:00:00,Salle_Serveur,20.79,2.69,42.3,0,weekend,47.273
9828,2025-03-23 21:00:00,atelier,21.25,5.9,44.9,0,weekend,13.828
7332,2025-03-03 02:00:00,bureau sud,-999,2.22,37.7,10,ouvré,863.315
7461,2025-03-04 04:00:00,BUREAU NORD,21.52,0.63,42.7,15,ouvré,10.517
1206,2025-01-11 01:00:00,bureau_nord,20.59,-0.49,52.0,0,weekend,12.735
7493,2025-03-04 10:00:00,atelier,20.83,7.24,39.8,6,ouvré,26.701
7866,2025-03-07 13:00:00,Bureau_Nord,21.36,8.51,45.5,5,ouvré,16.154
412,2025-01-04 10:00:00,bureau sud,21.13,2.55,39.2,0,weekend,9.622
4319,2025-02-05 23:00:00,Salle_Serveur,22.85,-1.37,311.4,0,ouvré,46.928
2371,2025-01-20 18:00:00,Bureau_Nord,21.28,5.51,46.1,6,ouvré,12.588
4231,2025-02-05 06:00:00,bureau_nord,,-1.2,,14,ouvré,12.848
7433,2025-03-03 22:00:00,atelier,21.02,4.6,43.5,13,ouvré,11.826
9777,2025-03-23 11:00:00,bureau sud,,9.91,52.0,0,weekend,6.451
6717,2025-02-25 23:00:00,bureau sud,21.8,1.42,43.9,11,ouvré,11.424
7226,2025-03-02 05:00:00,Bureau_Nord,20.71,3.03,,0,weekend,10.608
3459,2025-01-29 19:00:00,Salle Serveur,19.61,5.79,48.4,0,ouvré,44.147
1807,2025-01-16 01:00:00,bureau sud,23.08,-1.17,46.3,9,ouvré,11.358
6302,2025-02-22 12:00:00,Bureau_Sud,20.93,6.95,42.0,0,weekend,753.283
5264,2025-02-13 20:00:00,Salle_Serveur,21.46,3.17,42.0,0,ouvré,47.111
9558,2025-03-21 15:00:00,atelier,20.31,10.35,40.4,0,ouvré,28.603
4890,2025-02-10 17:00:00,accueil ,21.85,6.68,40.0,12,ouvré,10.886
2977,2025-01-25 19:00:00,Bureau_Sud,21.92,2.75,48.6,0,weekend,10.966
5600,2025-02-16 15:00:00,Accueil,20.1,8.66,62.1,0,weekend,6.36
5427,2025-02-15 05:00:00,Bureau_Sud,20.74,-0.87,51.0,0,weekend,12.14
772,2025-01-07 10:00:00,bureau sud,21.51,1.55,34.5,7,ouvré,18.733
4950,2025-02-11 05:00:00,Accueil,21.18,1.55,39.5,4,ouvré,11.56
250,2025-01-03 01:00:00,accueil ,19.95,-0.94,51.7,7,ouvré,9.882
8664,2025-03-14 04:00:00,Salle Serveur,20.99,3.03,43.7,0,ouvré,45.325
7213,2025-03-02 02:00:00,Atelier,20.6,2.21,41.2,0,weekend,14.381
683,2025-01-06 16:00:00,atelier,21.18,5.83,37.4,1,ouvré,26.823
7193,2025-03-01 22:00:00,Atelier,20.19,2.79,34.3,0,weekend,14.473
1388,2025-01-12 13:00:00,atelier,19.41,7.82,50.1,0,weekend,12.3
6996,2025-02-28 07:00:00,Bureau_Nord,21.61,2.63,40.1,8,ouvré,11.269
9547,2025-03-21 13:00:00,bureau sud,21.9,9.08,40.8,7,ouvré,17.05
6756,2025-02-26 07:00:00,bureau_nord,19.93,0.58,38.6,6,ouvré,12.469
7480,2025-03-04 07:00:00,accueil ,21.43,1.73,47.1,,ouvré,
170,2025-01-02 09:00:00,Accueil,20.79,0.3,50.6,11,ouvré,13.902
5863,2025-02-18 20:00:00,atelier,21.54,5.68,51.6,6,ouvré,13.891
10257,2025-03-27 11:00:00,bureau sud,20.16,9.43,42.0,5,ouvré,15.951
5571,2025-02-16 10:00:00,BUREAU NORD,21.91,5.18,43.0,0,weekend,7.973
6704,2025-02-25 20:00:00,Salle Serveur,20.49,5.76,44.5,0,ouvré,46.753
8359,2025-03-11 15:00:00,Salle_Serveur,21.5,9.44,46.9,0,ouvré,44.813
1493,2025-01-13 10:00:00,Atelier,20.9,3.88,41.3,9,ouvré,28.338
9585,2025-03-21 20:00:00,Accueil,20.54,7.07,50.0,7,ouvré,7.09
2935,2025-01-25 10:00:00,accueil ,21.1,3.72,50.3,0,weekend,9.063
4963,2025-02-11 08:00:00,Atelier,22.28,1.99,40.3,8,ouvré,22.687
10121,2025-03-26 08:00:00,BUREAU NORD,22.65,6.84,46.8,10,ouvré,10.958
8840,2025-03-15 15:00:00,accueil ,21.0,8.22,,0,weekend,6.337
8002,2025-03-08 16:00:00,Bureau_Sud,22.27,10.88,50.0,0,weekend,5.034
7639,2025-03-05 15:00:00,Salle_Serveur,20.58,10.11,51.9,0,ouvré,43.039
9736,2025-03-23 03:00:00,Bureau_Nord,20.97,3.72,43.3,0,weekend,11.882
5184,2025-02-13 04:00:00,Salle Serveur,21.37,-1.74,48.7,0,ouvré,47.588
5493,2025-02-15 18:00:00,Atelier,20.68,5.95,37.2,0,weekend,11.583
6172,2025-02-21 10:00:00,bureau sud,21.67,4.29,44.2,7,ouvré,16.172
8433,2025-03-12 06:00:00,atelier,-999,3.01,59.2,0,ouvré,15.033
5831,2025-02-18 14:00:00,Bureau_Nord,21.28,8.48,47.8,,ouvré,15.904
1340,2025-01-12 03:00:00,Accueil,20.82,-2.96,29.2,0,weekend,11.188
8083,2025-03-09 08:00:00,Atelier,20.57,2.42,51.3,0,weekend,14.371
9858,2025-03-24 03:00:00,atelier,21.57,1.2,47.5,4,ouvré,13.059
6518,2025-02-24 07:00:00,Atelier,20.0,-1.1,47.4,9,ouvré,18.964
7139,2025-03-01 11:00:00,Salle_Serveur,19.0,4.08,53.9,0,weekend,48.223
5250,2025-02-13 17:00:00,accueil ,20.74,4.93,55.6,10,ouvré,13.32
5213,2025-02-13 10:00:00,Atelier,22.44,3.82,42.3,9,ouvré,
2706,2025-01-23 13:00:00,Bureau_Nord,21.18,4.22,49.5,3,ouvré,16.166
5467,2025-02-15 13:00:00,Bureau_Sud,20.21,6.82,39.9,0,weekend,8.583
4224,2025-02-05 04:00:00,Salle Serveur,22.46,-1.72,48.4,0,ouvré,49.313
7244,2025-03-02 08:00:00,Salle_Serveur,20.05,4.9,38.2,0,weekend,44.666
2565,2025-01-22 08:00:00,Accueil,,2.16,42.1,8,ouvré,12.041
1678,2025-01-14 23:00:00,atelier,19.84,1.7,48.8,12,ouvré,15.163
664,2025-01-06 12:00:00,Salle Serveur,21.1,5.6,56.0,0,ouvré,45.341
6897,2025-02-27 11:00:00,Bureau_Sud,21.0,5.22,40.8,13,ouvré,18.261
4654,2025-02-08 18:00:00,Salle Serveur,20.27,5.77,41.2,0,weekend,45.489
4759,2025-02-09 15:00:00,Salle_Serveur,20.44,5.87,46.3,0,weekend,45.51
6597,2025-02-24 23:00:00,bureau sud,19.85,1.32,47.4,17,ouvré,9.853
2493,2025-01-21 18:00:00,atelier,19.94,4.52,45.7,5,ouvré,19.841
5531,2025-02-16 02:00:00,BUREAU NORD,19.95,0.46,39.4,0,weekend,10.284
10497,2025-03-29 11:00:00,Bureau_Sud,20.55,10.13,,0,weekend,7.366
768,2025-01-07 09:00:00,atelier,20.08,0.41,48.3,11,ouvré,26.49
672,2025-01-06 14:00:00,bureau sud,20.15,3.38,53.0,5,ouvré,20.209
6321,2025-02-22 16:00:00,BUREAU NORD,21.38,5.86,43.2,0,weekend,10.624
9614,2025-03-22 02:00:00,Salle_Serveur,20.27,1.94,51.1,0,,46.372
2198,2025-01-19 07:00:00,Atelier,21.39,-2.25,42.0,0,weekend,14.985
6761,2025-02-26 08:00:00,bureau_nord,21.12,3.18,48.2,12,ouvré,12.431
9658,2025-03-22 11:00:00,atelier,19.66,8.22,43.1,0,weekend,11.455
10538,2025-03-29 19:00:00,atelier,22.75,10.44,,0,weekend,9.883
2797,2025-01-24 07:00:00,bureau sud,20.13,-1.32,51.7,3,ouvré,13.472
848,2025-01-08 01:00:00,Atelier,20.1,-2.23,39.1,4,ouvré,15.805
6183,2025-02-21 12:00:00,atelier,21.34,6.83,44.7,0,ouvré,32.033
1672,2025-01-14 22:00:00,bureau sud,21.77,2.09,35.2,8,ouvré,10.683
4049,2025-02-03 17:00:00,Salle_Serveur,21.94,6.31,45.3,0,ouvré,43.999
3426,2025-01-29 13:00:00,BUREAU NORD,21.97,5.7,42.3,12,ouvré,17.422
5324,2025-02-14 08:00:00,Salle_Serveur,22.16,2.04,34.6,,ouvré,48.462
7221,2025-03-02 04:00:00,bureau_nord,20.92,0.5,63.3,0,weekend,9.912
2128,2025-01-18 17:00:00,atelier,20.69,5.33,57.5,0,weekend,12.139
4424,2025-02-06 20:00:00,Salle Serveur,22.12,3.39,45.6,0,ouvré,673.689
3720,2025-01-31 23:00:00,Accueil,21.68,1.09,52.4,5,ouvré,8.753
10797,2025-03-31 23:00:00,bureau sud,21.02,5.01,43.7,6,ouvré,9.433
1814,2025-01-16 02:00:00,Salle Serveur,20.46,0.14,47.4,0,ouvré,47.966
1091,2025-01-10 02:00:00,Bureau_Nord,20.48,-3.41,42.5,14,ouvré,13.147
9607,2025-03-22 01:00:00,bureau sud,22.01,3.46,56.7,0,weekend,7.544
3635,2025-01-31 06:00:00,Accueil,20.65,2.05,48.0,5,ouvré,10.022
1919,2025-01-16 23:00:00,Salle_Serveur,21.26,1.4,42.8,,ouvré,48.255
5851,2025-02-18 18:00:00,Bureau_Nord,22.36,6.05,38.3,17,ouvré,11.411
7523,2025-03-04 16:00:00,atelier,21.23,9.6,,12,ouvré,23.656
4091,2025-02-04 02:00:00,bureau_nord,20.94,-1.28,47.3,3,ouvré,10.509
8330,2025-03-11 09:00:00,accueil ,21.68,6.28,45.0,2,ouvré,10.189
8865,2025-03-15 20:00:00,Accueil,21.46,5.34,43.2,0,weekend,7.522
1079,2025-01-09 23:00:00,Salle Serveur,21.43,0.76,44.5,0,ouvré,48.995
2722,2025-01-23 16:00:00,Bureau_Sud,20.38,4.79,45.0,6,ouvré,16.039
5070,2025-02-12 05:00:00,Accueil,19.93,1.16,39.1,3,ouvré,10.849
8807,2025-03-15 09:00:00,bureau sud,19.56,5.88,32.7,0,weekend,8.731
3175,2025-01-27 10:00:00,accueil ,21.26,2.42,42.7,9,ouvré,13.86
322,2025-01-03 16:00:00,bureau sud,20.65,5.74,53.8,5,ouvré,
9810,2025-03-23 17:00:00,Accueil,21.36,10.65,37.1,0,weekend,4.53
6223,2025-02-21 20:00:00,atelier,20.34,5.22,,,ouvré,13.82
8946,2025-03-16 13:00:00,Bureau_Nord,23.1,9.55,60.7,0,weekend,8.058
10642,2025-03-30 16:00:00,Bureau_Sud,20.53,12.12,53.2,0,weekend,5.121
2808,2025-01-24 09:00:00,Atelier,,1.09,47.6,13,ouvré,25.738
8221,2025-03-10 12:00:00,Bureau_Nord,20.13,9.08,44.8,5,ouvré,15.035
4088,2025-02-04 01:00:00,atelier,21.37,0.03,47.9,2,ouvré,12.917
6559,2025-02-24 15:00:00,Salle Serveur,21.43,7.61,52.6,0,ouvré,45.791
8811,2025-03-15 10:00:00,BUREAU NORD,19.74,5.42,37.1,,weekend,8.491
10211,2025-03-27 02:00:00,Bureau_Nord,21.49,4.17,37.2,14,ouvré,7.64
5,2025-01-01 00:00:00,Accueil,21.06,-0.77,43.1,9,férié,10.842
8535,2025-03-13 02:00:00,Accueil,22.18,0.99,42.9,,ouvré,10.087
8333,2025-03-11 10:00:00,atelier,22.21,8.65,51.3,8,ouvré,25.675
7965,2025-03-08 08:00:00,accueil ,20.33,4.48,53.1,0,weekend,8.029
7078,2025-02-28 23:00:00,atelier,20.45,3.19,52.2,4,ouvré,13.13
1290,2025-01-11 17:00:00,accueil ,21.1,3.28,43.8,0,weekend,8.991
2315,2025-01-20 06:00:00,Accueil,20.65,-3.28,40.2,11,ouvré,12.213
1605,2025-01-14 08:00:00,accueil ,21.93,1.71,54.0,11,ouvré,11.148
7686,2025-03-06 01:00:00,BUREAU NORD,20.41,1.88,47.1,4,ouvré,10.785
8355,2025-03-11 14:00:00,accueil ,21.84,7.74,54.2,8,ouvré,11.51
6932,2025-02-27 18:00:00,bureau sud,22.12,6.52,44.9,11,ouvré,12.935
5967,2025-02-19 17:00:00,bureau sud,21.02,8.41,40.9,2,ouvré,14.221
9916,2025-03-24 15:00:00,BUREAU NORD,20.17,10.15,39.7,4,ouvré,12.896
5715,2025-02-17 14:00:00,accueil ,21.22,7.55,45.1,15,ouvré,12.442
5369,2025-02-14 17:00:00,Salle Serveur,21.59,6.42,51.1,,ouvré,46.299
5352,2025-02-14 14:00:00,bureau sud,21.46,6.6,51.1,,ouvré,17.8
8384,2025-03-11 20:00:00,Salle Serveur,21.81,6.38,40.5,0,ouvré,45.667
8989,2025-03-16 21:00:00,Salle Serveur,19.97,6.44,37.5,0,weekend,45.148
1816,2025-01-16 03:00:00,Bureau_Nord,21.43,-3.23,51.6,3,ouvré,11.363
4302,2025-02-05 20:00:00,bureau sud,22.01,6.24,43.0,,ouvré,10.058
3867,2025-02-02 05:00:00,Bureau_Sud,19.17,0.02,54.2,0,weekend,426.488
7698,2025-03-06 03:00:00,atelier,21.57,1.21,38.4,2,ouvré,15.3
585,2025-01-05 20:00:00,Accueil,19.7,1.98,50.9,0,weekend,9.881
8676,2025-03-14 07:00:00,BUREAU NORD,20.8,4.34,47.4,9,ouvré,
9092,2025-03-17 18:00:00,Bureau_Sud,21.44,9.84,45.5,7,ouvré,10.97
5426,2025-02-15 05:00:00,bureau_nord,20.82,-0.87,51.8,,weekend,10.895
10214,2025-03-27 02:00:00,Salle_Serveur,21.84,4.17,46.0,0,ouvré,46.726
10063,2025-03-25 20:00:00,Atelier,22.03,6.76,46.9,8,ouvré,13.769
8111,2025-03-09 14:00:00,bureau_nord,20.23,6.84,41.3,0,weekend,8.281
6726,2025-02-26 01:00:00,Bureau_Nord,21.83,1.72,46.3,8,ouvré,9.497
1620,2025-01-14 11:00:00,accueil ,22.17,3.19,43.8,8,ouvré,13.822
4130,2025-02-04 09:00:00,Accueil,21.28,2.75,38.1,19,ouvré,10.803
3605,2025-01-31 00:00:00,accueil ,22.11,-0.87,46.1,12,ouvré,8.971
4997,2025-02-11 15:00:00,bureau sud,21.55,7.49,,2,ouvré,16.327
9982,2025-03-25 04:00:00,bureau sud,20.11,3.93,46.0,11,ouvré,8.53
7951,2025-03-08 06:00:00,BUREAU NORD,21.64,3.5,40.2,0,weekend,10.534
50,2025-01-01 09:00:00,Accueil,22.11,1.87,45.5,6,férié,12.158
4566,2025-02-08 01:00:00,BUREAU NORD,22.05,2.43,42.5,0,weekend,7.63
30,2025-01-01 05:00:00,accueil ,20.04,-0.5,50.3,1,férié,11.849
7562,2025-03-05 00:00:00,Bureau_Sud,20.24,3.43,51.4,3,ouvré,8.115
717,2025-01-06 23:00:00,Bureau_Sud,20.78,2.79,42.0,12,ouvré,10.462
9350,2025-03-19 21:00:00,accueil ,21.12,6.01,53.9,,ouvré,6.947
8560,2025-03-13 07:00:00,accueil ,21.44,1.9,42.7,12,ouvré,9.952
4097,2025-02-04 03:00:00,Bureau_Sud,20.34,-1.6,49.2,7,ouvré,11.555
3122,2025-01-27 00:00:00,Bureau_Sud,20.7,-2.35,40.7,10,ouvré,11.683
9284,2025-03-19 08:00:00,Salle Serveur,22.85,4.87,51.6,0,ouvré,45.803
1141,2025-01-10 12:00:00,Bureau_Nord,20.9,5.17,54.4,12,ouvré,16.224
7978,2025-03-08 11:00:00,atelier,20.08,6.15,43.7,,weekend,10.49
3665,2025-01-31 12:00:00,accueil ,21.99,4.31,47.5,13,ouvré,13.377
2778,2025-01-24 03:00:00,Atelier,21.81,-0.2,42.3,6,ouvré,14.848
9303,2025-03-19 12:00:00,Atelier,19.81,8.7,52.4,8,ouvré,32.016
8376,2025-03-11 19:00:00,BUREAU NORD,20.0,6.3,43.8,,ouvré,9.273
3373,2025-01-29 02:00:00,atelier,20.83,-1.81,40.4,7,ouvré,14.516
1030,2025-01-09 13:00:00,Accueil,20.3,4.31,53.1,7,ouvré,14.015
5122,2025-02-12 16:00:00,bureau sud,22.26,3.99,40.2,10,ouvré,17.955
3528,2025-01-30 09:00:00,Atelier,21.68,2.9,48.2,8,ouvré,24.979
8806,2025-03-15 09:00:00,bureau_nord,21.87,5.88,41.8,0,weekend,8.424
4949,2025-02-11 05:00:00,Salle Serveur,20.24,1.55,33.2,0,ouvré,48.838
6803,2025-02-26 16:00:00,Atelier,19.66,6.2,45.7,6,ouvré,26.896
1789,2025-01-15 21:00:00,Salle Serveur,21.3,2.27,48.6,0,ouvré,45.331
8243,2025-03-10 16:00:00,atelier,19.67,10.29,38.7,8,ouvré,24.111
901,2025-01-08 12:00:00,bureau_nord,19.97,5.37,47.2,3,ouvré,18.022
9503,2025-03-21 04:00:00,atelier,-999,0.01,48.0,7,ouvré,15.271
3580,2025-01-30 19:00:00,Accueil,-999,2.01,39.7,9,ouvré,11.19
6707,2025-02-25 21:00:00,Bureau_Sud,21.09,1.9,47.2,,ouvré,11.371
5456,2025-02-15 11:00:00,Bureau_Nord,22.5,4.34,60.4,0,weekend,9.073
9877,2025-03-24 07:00:00,Bureau_Sud,22.34,3.34,317.4,6,ouvré,12.078
8371,2025-03-11 18:00:00,BUREAU NORD,21.39,9.5,44.9,4,ouvré,10.093
3482,2025-01-30 00:00:00,bureau sud,22.34,0.24,50.3,8,ouvré,11.692
8630,2025-03-13 21:00:00,accueil ,19.9,6.55,38.8,8,ouvré,
3256,2025-01-28 03:00:00,Bureau_Nord,21.45,-3.03,52.8,6,ouvré,12.265
9639,2025-03-22 07:00:00,Salle Serveur,20.3,2.57,38.2,0,weekend,46.557
8313,2025-03-11 06:00:00,atelier,19.99,1.18,37.4,,ouvré,17.148
836,2025-01-07 23:00:00,bureau_nord,20.68,0.15,46.5,3,ouvré,11.173
7251,2025-03-02 10:00:00,BUREAU NORD,22.2,4.95,47.5,0,weekend,9.909
10593,2025-03-30 06:00:00,Atelier,21.12,6.83,39.0,0,weekend,11.424
700,2025-01-06 19:00:00,accueil ,21.99,3.36,45.2,6,ouvré,7.603
9442,2025-03-20 16:00:00,bureau sud,21.11,10.68,43.9,7,ouvré,14.504
6930,2025-02-27 17:00:00,Accueil,20.67,9.08,32.8,14,ouvré,8.286
7305,2025-03-02 20:00:00,Accueil,21.53,6.38,38.6,0,weekend,7.198
2440,2025-01-21 07:00:00,Accueil,21.6,2.29,48.3,8,ouvré,11.198
10564,2025-03-30 00:00:00,Salle_Serveur,20.67,5.58,43.7,0,weekend,45.947
562,2025-01-05 16:00:00,bureau sud,21.73,5.51,48.3,0,weekend,7.94
2951,2025-01-25 14:00:00,Bureau_Nord,19.96,4.88,45.5,0,weekend,8.773
10470,2025-03-29 05:00:00,Accueil,21.87,4.06,50.0,0,weekend,497.554
8669,2025-03-14 05:00:00,Salle_Serveur,21.56,0.43,35.8,0,ouvré,46.741
7900,2025-03-07 19:00:00,accueil ,,8.69,49.6,5,ouvré,7.487
2595,2025-01-22 14:00:00,Accueil,20.15,6.47,40.3,1,ouvré,13.049
1945,2025-01-17 04:00:00,Accueil,20.56,-2.23,56.1,4,ouvré,10.891
1266,2025-01-11 13:00:00,BUREAU NORD,21.93,4.38,61.9,0,weekend,8.308
8284,2025-03-11 00:00:00,Salle Serveur,20.63,1.59,44.8,0,ouvré,46.855
1287,2025-01-11 17:00:00,bureau sud,21.48,3.28,51.5,0,weekend,11.406
1327,2025-01-12 01:00:00,bureau sud,21.07,-0.49,52.6,,weekend,10.994
2013,2025-01-17 18:00:00,atelier,22.16,4.84,30.9,14,ouvré,20.824
6702,2025-02-25 20:00:00,Bureau_Sud,21.69,5.76,47.9,11,ouvré,342.542
4046,2025-02-03 17:00:00,Bureau_Nord,20.51,6.31,53.9,,ouvré,12.708
10616,2025-03-30 11:00:00,bureau_nord,20.55,9.68,39.9,0,weekend,6.176
6437,2025-02-23 15:00:00,bureau sud,21.21,8.15,40.5,0,weekend,8.79
5339,2025-02-14 11:00:00,Salle_Serveur,20.83,4.2,41.9,0,ouvré,47.828
3680,2025-01-31 15:00:00,accueil ,21.38,4.02,47.1,21,ouvré,12.739
7825,2025-03-07 04:00:00,Accueil,22.75,-0.07,42.7,4,ouvré,10.734
6144,2025-02-21 04:00:00,Salle Serveur,20.93,-1.9,46.9,0,ouvré,47.846
2512,2025-01-21 22:00:00,Bureau_Sud,20.89,1.45,40.8,14,ouvré,9.604
1870,2025-01-16 13:00:00,accueil ,20.55,4.49,40.9,13,ouvré,14.318
4733,2025-02-09 10:00:00,Atelier,20.37,4.09,41.5,0,weekend,13.085
7427,2025-03-03 21:00:00,Bureau_Sud,21.96,5.65,,9,ouvré,9.281
8440,2025-03-12 07:00:00,accueil ,20.68,-0.09,,10,ouvré,11.384
7483,2025-03-04 08:00:00,atelier,20.97,4.65,,7,ouvré,20.309
5950,2025-02-19 13:00:00,Accueil,20.4,5.38,33.2,4,ouvré,14.09
5770,2025-02-18 01:00:00,Accueil,21.7,-1.37,50.6,7,ouvré,10.098
10631,2025-03-30 14:00:00,Bureau_Nord,21.21,11.21,41.1,0,weekend,7.734
8108,2025-03-09 13:00:00,atelier,22.21,7.64,46.2,0,weekend,12.246
1402,2025-01-12 16:00:00,bureau sud,21.8,7.21,46.7,0,weekend,8.135
6259,2025-02-22 03:00:00,Salle Serveur,22.13,-1.48,42.8,0,weekend,48.939
7106,2025-03-01 05:00:00,bureau_nord,21.15,0.29,60.3,0,weekend,9.997
5813,2025-02-18 10:00:00,atelier,21.28,2.88,47.5,7,ouvré,29.144
8592,2025-03-13 14:00:00,bureau sud,22.33,7.44,57.0,5,ouvré,18.889
4694,2025-02-09 02:00:00,Salle_Serveur,21.05,-1.78,46.9,0,weekend,48.114
510,2025-01-05 05:00:00,accueil ,21.9,-0.69,38.2,0,weekend,13.692
10632,2025-03-30 14:00:00,bureau sud,22.31,11.21,53.4,0,weekend,5.506
3594,2025-01-30 22:00:00,Salle Serveur,21.58,-0.97,44.4,0,ouvré,49.211
5134,2025-02-12 18:00:00,Salle_Serveur,21.95,4.79,,0,ouvré,45.012
6089,2025-02-20 17:00:00,Salle Serveur,-999,6.6,33.8,0,ouvré,45.526
474,2025-01-04 22:00:00,Salle_Serveur,20.56,1.2,34.5,0,weekend,45.901
6454,2025-02-23 18:00:00,Salle Serveur,22.6,8.04,204.4,0,weekend,-8.812
7524,2025-03-04 16:00:00,Salle Serveur,20.95,9.6,49.2,0,ouvré,43.895
4100,2025-02-04 03:00:00,Accueil,21.35,-1.6,39.7,17,ouvré,10.614
7887,2025-03-07 17:00:00,bureau sud,22.67,8.76,46.1,11,ouvré,13.185
4722,2025-02-09 08:00:00,bureau sud,20.25,0.23,35.3,0,weekend,12.233
10728,2025-03-31 09:00:00,atelier,20.73,3.65,50.1,4,ouvré,24.773
6350,2025-02-22 21:00:00,Accueil,21.92,1.98,49.0,0,weekend,9.809
1052,2025-01-09 18:00:00,bureau sud,21.06,5.36,50.6,9,ouvré,13.539
7706,2025-03-06 05:00:00,bureau_nord,19.65,1.26,39.4,8,ouvré,9.638
2161,2025-01-19 00:00:00,bureau_nord,21.07,-2.5,,0,weekend,11.575
6415,2025-02-23 10:00:00,Accueil,21.4,6.3,47.6,,weekend,7.892
8301,2025-03-11 04:00:00,BUREAU NORD,21.04,-0.08,55.0,12,ouvré,10.716
6511,2025-02-24 06:00:00,bureau_nord,22.16,1.02,40.9,8,ouvré,12.068
7823,2025-03-07 04:00:00,atelier,21.35,-0.07,35.6,8,ouvré,14.952
2750,2025-01-23 21:00:00,Accueil,22.36,1.86,38.2,,ouvré,9.778
9291,2025-03-19 10:00:00,bureau_nord,21.36,6.58,,10,ouvré,13.95
9724,2025-03-23 00:00:00,Salle_Serveur,19.78,4.36,54.0,0,weekend,44.922
9896,2025-03-24 11:00:00,BUREAU NORD,21.2,10.02,35.3,7,ouvré,14.759
5691,2025-02-17 10:00:00,Bureau_Nord,21.84,7.09,46.9,5,ouvré,12.801
7798,2025-03-06 23:00:00,Atelier,22.04,3.53,,6,ouvré,13.507
7777,2025-03-06 19:00:00,bureau sud,20.29,5.19,58.4,5,ouvré,10.439
7615,2025-03-05 10:00:00,Accueil,21.4,5.45,47.6,9,ouvré,11.253
4924,2025-02-11 00:00:00,Salle Serveur,20.16,-1.32,39.3,0,ouvré,51.276
